start,end,type,distance,car
2016-09-20T17:46:31.515202+00:00,2016-09-20T18:07:34.321765+00:00,starting,5,BC02159
2016-09-20T18:07:36.536260+00:00,2016-09-20T18:41:18.025951+00:00,ending,10,BV01783
2016-09-20T18:20:59.763687+00:00,2016-09-20T18:34:21.687316+00:00,starting,3,BV01528
2016-09-20T18:32:47.622287+00:00,2016-09-20T18:42:31.906126+00:00,ending,2,569
2016-09-20T18:35:27.445680+00:00,2016-09-20T19:06:08.127432+00:00,ending,18,BV01834
2016-09-20T18:37:22.328168+00:00,2016-09-20T18:56:19.167608+00:00,starting,5,483
2016-09-20T19:16:58.818936+00:00,2016-09-20T19:44:12.373242+00:00,starting,14,569
2016-09-20T20:06:48.123624+00:00,2016-09-20T20:36:58.459782+00:00,ending,7,BV02536
2016-09-20T20:57:31.561792+00:00,2016-09-20T21:23:12.210329+00:00,starting,7,139
2016-09-20T21:06:59.371174+00:00,2016-09-20T21:32:45.733168+00:00,starting,9,BV01834
2016-09-20T21:07:55.227534+00:00,2016-09-20T21:23:47.554926+00:00,starting,4,BV02536
2016-09-20T21:15:16.920434+00:00,2016-09-20T21:36:52.050582+00:00,starting,7,BC02233
2016-09-20T21:19:19.182545+00:00,2016-09-20T21:53:27.995398+00:00,ending,9,558
2016-09-20T21:24:54.232370+00:00,2016-09-20T21:46:27.257875+00:00,ending,8,C1805
2016-09-20T22:20:10.629315+00:00,2016-09-20T22:43:31.711791+00:00,ending,12,1495
2016-09-20T22:23:27.059454+00:00,2016-09-20T22:35:46.882108+00:00,ending,3,BV01629
2016-09-20T22:42:28.191959+00:00,2016-09-20T23:11:01.238322+00:00,ending,10,1136
2016-09-20T22:46:41.101906+00:00,2016-09-20T23:26:14.309239+00:00,starting,12,C1805
2016-09-21T03:39:02.115090+00:00,2016-09-21T03:53:00+00:00,starting,5,1495
2016-09-21T04:06:07.815205+00:00,2016-09-21T04:20:43.021236+00:00,starting,4,BV01629
2016-09-21T04:38:35.999152+00:00,2016-09-21T04:57:05.664773+00:00,ending,9,858
2016-09-21T04:43:48.072087+00:00,2016-09-21T04:57:07.218324+00:00,starting,3,1136
2016-09-21T05:24:08.051588+00:00,2016-09-21T05:48:41.003706+00:00,starting,8,858
2016-09-21T05:39:52.148708+00:00,2016-09-21T06:11:14.314715+00:00,starting,9,558
2016-09-21T06:01:46.293893+00:00,2016-09-21T06:35:15.337330+00:00,ending,8,781
2016-09-21T06:13:51.151639+00:00,2016-09-21T06:33:31.653932+00:00,starting,5,BV01782
2016-09-21T06:28:22.693140+00:00,2016-09-21T06:39:07.850068+00:00,starting,2,BV01783
2016-09-21T07:18:24.651958+00:00,2016-09-21T07:33:30.557933+00:00,ending,3,V1196
2016-09-21T07:55:38.144917+00:00,2016-09-21T08:28:17.610856+00:00,ending,5,BV05064
2016-09-21T07:59:05.240341+00:00,2016-09-21T08:04:54.331980+00:00,starting,1,781
2016-09-21T08:03:07.190973+00:00,2016-09-21T09:04:23.639517+00:00,ending,9,533
2016-09-21T08:24:03.528186+00:00,2016-09-21T09:05:35.960756+00:00,ending,9,C1801
2016-09-21T08:33:05.562118+00:00,2016-09-21T10:30:06.655905+00:00,starting,30,V1196
2016-09-21T08:47:40.125267+00:00,2016-09-21T09:56:21.317263+00:00,starting,19,BV05064
2016-09-21T09:09:09.956197+00:00,2016-09-21T09:42:57.207283+00:00,ending,6,BV01510
2016-09-21T09:51:37.783530+00:00,2016-09-21T10:24:35.543044+00:00,ending,8,BV05327
2016-09-21T10:37:10.391020+00:00,2016-09-21T10:57:43.282626+00:00,ending,4,V0321
2016-09-21T10:41:13.229547+00:00,2016-09-21T11:02:02.963024+00:00,ending,5,V0963
2016-09-21T10:44:37.838997+00:00,2016-09-21T11:24:43.035053+00:00,starting,8,C1801
2016-09-21T11:05:06.735672+00:00,2016-09-21T11:37:12.136654+00:00,ending,9,V0026
2016-09-21T11:22:49.567663+00:00,2016-09-21T11:43:19.002330+00:00,starting,8,BV01510
2016-09-21T11:23:39.782658+00:00,2016-09-21T12:05:47.779608+00:00,starting,10,533
2016-09-21T11:24:34.607176+00:00,2016-09-21T12:15:00+00:00,starting,11,BV05327
2016-09-21T11:30:03.207980+00:00,2016-09-21T11:49:26.569551+00:00,starting,3,V0963
2016-09-21T11:31:38.713458+00:00,2016-09-21T12:11:36.876530+00:00,starting,27,V0321
2016-09-21T12:16:43.716052+00:00,2016-09-21T13:21:24.849009+00:00,ending,8,BV01305
2016-09-21T12:36:17.357228+00:00,2016-09-21T12:55:20.452569+00:00,starting,8,V0026
2016-09-21T12:59:03.332479+00:00,2016-09-21T13:17:10.461117+00:00,ending,5,V0851
2016-09-21T13:52:49.775207+00:00,2016-09-21T14:06:31.690695+00:00,ending,2,V0506
2016-09-21T14:17:56.120228+00:00,2016-09-21T14:49:39.774138+00:00,ending,10,421
2016-09-21T14:35:19.933609+00:00,2016-09-21T14:54:15.220690+00:00,ending,4,1381
2016-09-21T14:35:29.522756+00:00,2016-09-21T15:02:12.823084+00:00,ending,5,817
2016-09-21T14:42:25.755489+00:00,2016-09-21T15:07:50.715262+00:00,starting,5,V0851
2016-09-21T15:00:21.592712+00:00,2016-09-21T15:15:33.388330+00:00,ending,3,V0819
2016-09-21T15:20:28.678473+00:00,2016-09-21T15:53:49.074985+00:00,ending,7,BV02683
2016-09-21T15:33:21.465549+00:00,2016-09-21T16:06:25.109697+00:00,starting,6,V0819
2016-09-21T15:46:37.707845+00:00,2016-09-21T15:56:11.015387+00:00,starting,2,1381
2016-09-21T15:50:26.779418+00:00,2016-09-21T16:50:07.321386+00:00,starting,8,V0506
2016-09-21T15:54:57.419075+00:00,2016-09-21T16:12:00.234444+00:00,ending,3,BV02532
2016-09-21T16:13:38.353168+00:00,2016-09-21T16:34:45.957603+00:00,starting,5,BV01305
2016-09-21T16:35:27.336560+00:00,2016-09-21T17:06:42.046729+00:00,starting,6,421
